gene	EM-seq_Preleukemia_Control_rep1	EM-seq_Preleukemia_Control_rep2	EM-seq_Preleukemia_Control_rep3	EM-seq_Preleukemia_Tet2_rep1	EM-seq_Preleukemia_Tet2_rep2	EM-seq_Preleukemia_Tet2_rep3	EM-seq_Preleukemia_Rx1_rep1	EM-seq_Preleukemia_Rx1_rep2	EM-seq_Preleukemia_Rx1_rep3	EM-seq_Preleukemia_Rx1Tet2_rep1	EM-seq_Preleukemia_Rx1Tet2_rep2	EM-seq_Preleukemia_Rx1Tet2_rep3	cluster
chr3.130751528	0.0	0.0	0.0	0.0	3.85	0.0	75.0	64.86	70.0	0.0	10.71	0.0	2
chrX.40413170	-1.0	75.0	73.33	85.0	100.0	83.33	95.0	90.91	100.0	-1.0	87.5	90.0	2
chr19.32966734	41.67	25.0	30.0	71.43	50.0	20.0	76.92	60.0	66.67	-1.0	80.95	-1.0	2
chr6.133163951	66.67	68.0	63.64	83.33	75.76	75.0	90.0	88.57	86.96	70.37	90.48	66.67	2
chr6.50531283	56.25	50.0	63.64	85.71	64.71	75.0	85.71	95.83	90.91	91.67	-1.0	91.67	2
chr16.40782271	67.86	59.09	70.59	56.52	57.14	45.45	72.73	71.79	50.0	45.0	43.48	36.36	2
chr3.126658837	0.0	0.0	-1.0	0.0	0.0	0.0	100.0	91.67	93.33	0.0	-1.0	-1.0	2
chr13.31475282	68.75	59.09	64.71	56.52	64.71	67.86	85.71	80.0	88.89	70.0	55.56	88.89	2
chr3.126270136	0.0	0.0	0.0	-1.0	0.0	0.0	93.33	91.67	100.0	0.0	0.0	7.14	2
chr3.112472100	0.0	0.0	0.0	0.0	0.0	0.0	73.68	73.68	80.77	6.9	3.33	0.0	2
chr1.78812880	80.0	80.0	-1.0	-1.0	86.67	-1.0	100.0	100.0	-1.0	100.0	-1.0	-1.0	2
chr6.137908772	77.78	70.59	80.0	82.35	87.5	94.44	100.0	96.3	96.43	86.96	70.0	84.21	2
chr19.18056511	73.33	66.67	77.78	85.71	80.0	66.67	100.0	92.31	93.75	92.86	-1.0	100.0	2
chr1.74800024	17.39	16.67	5.0	38.46	42.86	33.33	41.18	31.25	70.59	26.67	35.0	-1.0	2
chr3.116504337	0.0	0.0	0.0	0.0	-1.0	0.0	90.0	100.0	100.0	4.76	0.0	0.0	2
chr3.127978335	0.0	0.0	0.0	0.0	0.0	0.0	97.37	100.0	95.24	2.22	0.0	0.0	2
chr3.102026374	0.0	0.0	3.12	0.0	0.0	0.0	94.74	88.89	84.0	0.0	0.0	0.0	2
chr3.127464572	0.0	0.0	0.0	0.0	0.0	0.0	100.0	98.33	98.11	0.0	0.0	0.0	2
chr5.54208978	72.22	68.18	73.68	75.0	75.86	90.48	88.24	97.22	90.0	86.96	92.0	73.33	2
chr6.24503146	36.67	43.75	29.41	42.11	56.52	57.14	61.54	69.57	66.67	34.62	40.0	25.0	2
chr3.130553051	5.26	-1.0	0.0	0.0	0.0	0.0	81.25	66.67	80.0	5.26	0.0	0.0	2
chr3.121087668	0.0	0.0	0.0	0.0	0.0	0.0	94.12	94.44	95.0	8.0	0.0	5.26	2
chr3.127037053	0.0	0.0	0.0	5.26	0.0	0.0	96.97	97.78	94.74	0.0	2.56	0.0	2
chr4.6535141	73.08	70.97	66.67	75.76	83.33	93.33	92.31	92.59	96.88	80.65	86.67	85.71	2
chr8.118551829	60.0	60.0	-1.0	-1.0	-1.0	61.11	90.91	90.0	-1.0	83.33	-1.0	-1.0	2
chr2.113072593	61.54	70.0	75.0	78.95	84.85	69.23	100.0	93.75	93.55	68.42	70.37	76.0	2
chr8.92496903	52.17	54.55	59.09	80.0	73.68	72.0	88.89	78.26	80.0	72.0	60.0	72.73	2
chr3.112143514	0.0	0.0	0.0	0.0	0.0	0.0	100.0	92.31	83.33	0.0	0.0	-1.0	2
chrX.128090739	50.0	54.55	-1.0	-1.0	45.45	90.0	86.67	75.0	80.0	45.45	-1.0	-1.0	2
chr19.52218680	70.0	61.54	58.33	54.55	90.0	50.0	85.71	100.0	92.31	58.33	68.18	80.0	2
chr10.98107576	56.25	50.0	52.17	61.54	84.38	60.0	77.78	73.91	85.19	63.16	67.74	65.0	2
chr7.127139412	43.48	30.77	36.0	52.63	55.0	40.0	66.67	83.33	72.0	57.14	100.0	-1.0	2
chr3.103446010	0.0	0.0	0.0	0.0	0.0	0.0	95.65	100.0	96.0	0.0	0.0	0.0	2
chr19.51888858	16.67	13.64	18.75	45.45	20.0	16.67	-1.0	40.91	38.1	14.29	26.32	5.56	2
chr7.16155797	60.0	47.37	46.15	58.33	69.23	91.67	70.0	68.42	78.95	83.33	-1.0	86.96	2
chr5.98090018	47.37	50.0	38.46	60.0	64.29	75.0	69.23	61.9	70.0	44.44	56.52	68.42	2
chr3.124218769	0.0	0.0	0.0	0.0	0.0	0.0	64.29	82.35	79.17	0.0	0.0	0.0	2
chr4.99700261	76.47	70.0	68.75	75.0	64.29	78.57	100.0	94.74	88.24	70.0	86.11	84.21	2
chr18.22523760	73.68	76.92	64.71	78.95	78.95	83.33	100.0	100.0	93.33	88.89	75.0	90.48	2
chr3.120793522	0.0	-1.0	0.0	-1.0	0.0	0.0	91.67	93.33	100.0	0.0	0.0	10.0	2
chr3.127098980	0.0	0.0	0.0	0.0	0.0	0.0	86.96	97.56	86.67	0.0	0.0	0.0	2
chr3.127170637	0.0	0.0	0.0	0.0	0.0	0.0	100.0	92.68	90.7	0.0	0.0	0.0	2
chr3.128628782	0.0	0.0	0.0	0.0	5.88	0.0	100.0	95.45	91.67	0.0	0.0	0.0	2
chr3.127269866	0.0	-1.0	0.0	0.0	0.0	10.0	100.0	92.31	83.33	0.0	0.0	4.76	2
chr3.112886812	0.0	0.0	0.0	0.0	0.0	0.0	100.0	90.91	92.86	-1.0	0.0	0.0	2
chr3.127753016	0.0	0.0	0.0	0.0	0.0	0.0	91.3	97.5	94.12	2.7	5.13	4.35	2
chr3.104844424	0.0	0.0	0.0	0.0	0.0	0.0	100.0	96.77	95.65	0.0	4.17	0.0	2
chr2.89018431	76.47	63.64	74.07	68.75	82.76	72.22	100.0	100.0	91.67	83.87	88.89	80.0	2
chr19.31663486	33.33	10.53	20.0	36.84	15.0	22.73	59.09	78.26	75.0	26.09	40.0	14.29	2
chr3.111149674	0.0	0.0	2.17	0.0	0.0	0.0	96.88	92.68	96.77	0.0	0.0	0.0	2
chr3.120691279	0.0	0.0	0.0	0.0	0.0	4.0	95.0	90.32	88.89	0.0	0.0	0.0	2
chr9.84542995	0.0	0.0	33.33	89.47	52.63	0.0	90.48	68.42	95.45	56.52	0.0	0.0	2
chr15.87021861	66.67	61.54	61.54	-1.0	84.62	-1.0	100.0	100.0	94.74	-1.0	-1.0	84.62	2
chr3.112956435	0.0	0.0	0.0	0.0	0.0	0.0	85.19	91.84	82.35	3.23	0.0	0.0	2
chr18.62634153	35.0	40.0	40.0	23.08	34.48	44.0	70.83	60.53	67.86	64.0	61.54	30.77	2
chr7.42974308	-1.0	54.55	55.0	58.82	60.0	80.0	80.0	75.0	81.82	83.33	-1.0	91.67	2
chr3.109938377	0.0	0.0	0.0	0.0	4.35	0.0	91.67	95.65	80.0	0.0	6.67	-1.0	2
chr13.14583922	35.71	38.46	45.0	61.54	52.63	40.0	72.22	31.25	68.42	-1.0	62.5	60.0	2
chr19.11868818	33.33	40.91	43.75	65.22	60.0	59.09	63.16	69.57	64.0	56.25	54.55	40.91	2
chr3.129321972	0.0	0.0	0.0	0.0	0.0	0.0	84.21	90.32	90.48	3.57	0.0	0.0	2
chr3.130693332	0.0	0.0	-1.0	-1.0	0.0	0.0	100.0	-1.0	100.0	-1.0	0.0	-1.0	2
chr3.130345534	0.0	0.0	2.17	0.0	0.0	0.0	73.91	72.73	74.29	0.0	0.0	0.0	2
chr3.117005383	0.0	0.0	0.0	0.0	0.0	0.0	100.0	97.44	98.04	4.76	0.0	4.76	2
chr3.129596503	0.0	-1.0	0.0	-1.0	-1.0	0.0	100.0	91.67	100.0	0.0	0.0	-1.0	2
chr3.120852165	8.33	-1.0	0.0	0.0	0.0	6.67	-1.0	100.0	90.0	0.0	0.0	0.0	2
chr3.112499083	0.0	0.0	0.0	0.0	0.0	0.0	96.15	100.0	95.35	0.0	0.0	0.0	2
chr7.72499424	56.25	48.28	53.12	50.0	58.33	65.0	82.61	80.65	71.05	74.07	77.14	50.0	2
chr3.152092631	38.1	40.91	35.0	64.71	53.85	50.0	53.33	62.5	62.5	33.33	25.0	33.33	2
chr3.104224259	0.0	0.0	0.0	0.0	0.0	0.0	84.21	83.72	82.93	0.0	0.0	0.0	2
chr3.55790938	12.5	18.52	11.43	13.79	14.29	10.71	41.67	50.0	44.83	32.26	40.48	25.93	2
chr3.123651312	0.0	0.0	0.0	-1.0	0.0	0.0	93.33	100.0	100.0	0.0	0.0	0.0	2
chr3.127961671	0.0	0.0	0.0	0.0	0.0	0.0	88.89	96.97	95.45	0.0	0.0	4.55	2
chr15.64782621	68.75	75.0	69.57	87.5	80.0	82.35	100.0	95.65	95.65	-1.0	81.25	91.67	2
chr3.115699869	0.0	0.0	2.63	0.0	0.0	0.0	100.0	100.0	100.0	0.0	0.0	2.94	2
chr12.50725132	52.17	50.0	53.85	58.82	46.15	53.85	70.0	78.57	76.19	60.0	60.0	64.29	2
chr17.82132982	61.76	61.11	70.0	77.27	69.23	58.33	90.91	85.29	87.5	74.07	79.31	77.78	2
chr4.143458913	64.29	-1.0	66.67	40.0	41.67	-1.0	72.73	76.92	66.67	55.56	83.33	40.0	2
chr3.104946431	0.0	-1.0	0.0	-1.0	0.0	8.33	95.0	94.44	92.31	0.0	0.0	0.0	2
chr3.101862154	0.0	-1.0	0.0	0.0	0.0	0.0	69.23	95.45	94.44	0.0	0.0	0.0	2
chr3.102936337	0.0	0.0	0.0	0.0	0.0	-1.0	92.31	100.0	91.67	0.0	0.0	0.0	2
chr3.112135934	0.0	-1.0	0.0	0.0	0.0	0.0	64.71	78.95	91.67	0.0	0.0	0.0	2
chr3.119899359	0.0	0.0	0.0	-1.0	0.0	0.0	90.91	92.0	100.0	0.0	3.57	0.0	2
chr3.101854947	0.0	0.0	0.0	0.0	0.0	0.0	89.47	94.23	95.24	0.0	0.0	0.0	2
chr3.120159113	0.0	0.0	0.0	-1.0	0.0	0.0	96.3	85.71	91.67	9.09	0.0	0.0	2
chr8.45678912	76.92	72.73	-1.0	-1.0	-1.0	80.0	93.33	100.0	93.33	100.0	90.91	-1.0	2
chr3.109978874	0.0	0.0	0.0	0.0	0.0	0.0	95.83	96.88	100.0	0.0	0.0	0.0	2
chr3.113010614	0.0	0.0	0.0	-1.0	0.0	0.0	72.22	100.0	95.65	0.0	5.56	-1.0	2
chr3.97661432	47.06	45.0	41.18	27.27	46.67	77.78	77.78	73.68	75.0	60.87	68.42	35.0	2
chr3.131039490	0.0	0.0	0.0	4.35	0.0	0.0	100.0	100.0	95.45	0.0	0.0	0.0	2
chr3.127698412	-1.0	0.0	0.0	-1.0	0.0	0.0	95.65	79.31	92.86	0.0	0.0	0.0	2
chr1.57910491	73.33	75.0	76.47	100.0	89.47	73.33	100.0	93.75	100.0	85.0	92.0	82.35	2
chr9.67111592	66.67	71.43	65.0	90.91	90.48	88.24	88.24	84.62	92.86	69.23	84.21	83.33	2
chr18.65348499	78.57	80.0	73.68	93.75	94.12	82.35	100.0	100.0	94.74	84.62	90.91	-1.0	2
chr1.177066771	94.74	100.0	92.86	78.57	71.43	77.27	100.0	96.15	94.12	80.0	100.0	-1.0	2
chr7.50933942	60.0	61.54	64.71	70.0	81.25	80.0	90.91	85.71	92.0	-1.0	41.67	66.67	2
chr1.16842389	64.71	58.82	62.16	68.0	58.62	58.33	81.82	83.33	90.48	65.85	57.78	70.59	2
chr1.74786731	72.22	61.11	69.23	75.0	72.0	60.87	90.91	92.59	83.87	85.71	64.0	84.21	2
chr3.124433817	0.0	4.0	0.0	0.0	0.0	0.0	85.0	92.5	100.0	2.33	3.03	0.0	2
chr1.31116388	69.57	60.0	58.33	77.27	80.0	47.06	66.67	89.47	76.67	94.74	90.0	-1.0	2
chr3.101833296	0.0	0.0	0.0	0.0	0.0	0.0	100.0	93.94	85.29	0.0	0.0	5.0	2
chr3.117072205	0.0	0.0	0.0	0.0	0.0	0.0	91.67	89.74	90.0	0.0	0.0	0.0	2
chr8.35171784	68.42	68.75	75.0	80.0	93.33	85.0	92.86	90.48	90.91	75.0	100.0	66.67	2
chr3.104721303	0.0	0.0	6.25	0.0	9.09	-1.0	100.0	100.0	100.0	0.0	0.0	3.45	2
chr3.122470536	0.0	0.0	0.0	6.25	0.0	0.0	100.0	100.0	85.71	0.0	0.0	0.0	2
chr3.131052874	0.0	0.0	0.0	5.88	0.0	0.0	100.0	100.0	91.67	0.0	0.0	0.0	2
chr8.13121395	15.38	9.09	-1.0	-1.0	-1.0	-1.0	69.23	50.0	60.0	69.23	-1.0	-1.0	2
chr18.86353346	33.33	45.45	40.0	34.78	36.84	56.25	61.9	60.0	71.43	47.83	58.62	52.38	2
chr11.58736708	31.25	35.0	29.63	25.0	35.29	42.11	66.67	60.87	70.0	38.89	59.26	42.11	2
chr3.127877611	0.0	0.0	0.0	0.0	0.0	6.25	100.0	100.0	100.0	4.76	0.0	6.25	2
chr5.46108142	70.0	72.73	67.57	72.73	67.65	76.47	90.91	91.89	88.24	73.08	80.0	88.0	2
chr3.109018597	0.0	0.0	0.0	0.0	0.0	0.0	96.15	93.75	100.0	0.0	0.0	5.26	2
chr3.110938990	0.0	0.0	0.0	0.0	0.0	0.0	67.65	79.07	78.38	0.0	0.0	0.0	2
chr3.113821297	2.94	0.0	3.45	0.0	0.0	0.0	96.55	86.84	93.94	0.0	0.0	0.0	2
chr3.127850155	0.0	0.0	0.0	0.0	0.0	0.0	94.44	78.95	80.95	3.7	0.0	0.0	2
chr1.171074362	5.88	18.18	15.38	18.18	27.27	20.0	33.33	43.75	33.33	27.27	0.0	15.38	2
chr3.130561119	0.0	0.0	0.0	0.0	0.0	0.0	95.0	100.0	97.22	0.0	0.0	0.0	2
chr3.127868996	0.0	0.0	0.0	0.0	0.0	3.57	100.0	94.74	96.77	0.0	0.0	0.0	2
chr14.107451794	73.91	69.23	80.95	77.78	71.43	82.35	100.0	95.24	100.0	78.95	92.31	88.89	2
chr18.38848812	66.67	60.0	70.59	-1.0	-1.0	77.78	100.0	90.0	91.67	76.19	-1.0	75.0	2
chr11.94726633	0.0	7.69	8.33	0.0	10.34	0.0	35.0	46.67	33.33	0.0	5.56	0.0	2
chr1.147362358	93.33	90.91	100.0	71.43	76.47	73.68	93.75	87.5	92.31	86.67	78.57	-1.0	2
chr3.127112696	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	90.0	0.0	0.0	0.0	2
chr3.118007742	0.0	0.0	0.0	2.22	2.04	0.0	84.85	81.82	87.72	0.0	0.0	0.0	2
chr6.91302977	72.73	70.0	80.0	90.0	94.12	-1.0	90.0	100.0	100.0	100.0	78.26	-1.0	2
chr3.126426878	0.0	0.0	0.0	0.0	2.78	3.57	80.65	84.62	88.57	0.0	0.0	0.0	2
chr3.130090456	16.67	8.57	19.23	27.27	23.08	12.5	100.0	97.56	96.67	6.9	5.56	15.79	2
chr11.111250718	-1.0	76.92	72.73	-1.0	100.0	-1.0	93.33	100.0	100.0	94.12	100.0	-1.0	2
chr10.24629328	68.75	63.64	72.22	84.62	62.5	80.0	100.0	95.0	87.5	100.0	100.0	-1.0	2
chr3.107428900	0.0	0.0	0.0	0.0	9.09	0.0	90.0	100.0	100.0	0.0	14.29	0.0	2
chr3.129437353	0.0	0.0	0.0	0.0	0.0	0.0	81.82	94.59	100.0	0.0	0.0	0.0	2
chr2.179387077	57.14	58.33	-1.0	-1.0	75.0	-1.0	85.71	94.12	91.67	77.78	100.0	-1.0	2
chr2.34941839	41.67	35.71	50.0	60.0	63.64	72.73	76.92	78.95	72.73	-1.0	100.0	73.33	2
chr3.112390401	0.0	0.0	0.0	0.0	0.0	0.0	93.1	82.14	97.22	0.0	0.0	0.0	2
chr3.124636413	0.0	0.0	0.0	0.0	0.0	0.0	80.0	65.79	77.78	3.03	0.0	0.0	2
chr3.112416694	0.0	0.0	-1.0	-1.0	0.0	-1.0	64.29	72.73	58.33	-1.0	0.0	-1.0	2
chr7.8256438	52.94	58.33	64.29	57.89	61.11	66.67	88.24	90.91	82.35	45.45	77.78	76.19	2
chr3.116903017	0.0	0.0	0.0	0.0	0.0	0.0	100.0	96.55	97.14	3.12	0.0	0.0	2
chr3.122498053	0.0	0.0	0.0	0.0	0.0	-1.0	33.33	40.0	40.0	0.0	0.0	0.0	2
chr5.127935985	62.5	68.0	62.5	73.08	70.83	66.67	89.29	88.1	90.32	72.97	81.58	71.43	2
chr3.127251266	0.0	0.0	0.0	0.0	0.0	0.0	91.67	87.5	82.35	3.57	0.0	0.0	2
chr3.112662317	0.0	0.0	0.0	0.0	0.0	0.0	100.0	97.14	95.65	0.0	0.0	0.0	2
chr3.105050695	25.0	31.58	29.63	33.33	48.28	29.41	100.0	100.0	96.88	26.32	22.22	20.0	2
chr4.131300068	56.25	36.84	45.83	75.0	55.56	89.47	84.62	90.91	95.24	55.0	75.0	-1.0	2
chr3.111669143	0.0	0.0	0.0	0.0	0.0	0.0	70.59	68.18	61.54	0.0	3.57	4.76	2
chr3.126588537	0.0	0.0	0.0	6.67	0.0	0.0	94.74	86.67	100.0	0.0	0.0	0.0	2
chr3.104572616	0.0	0.0	0.0	0.0	0.0	0.0	93.1	92.31	100.0	0.0	0.0	0.0	2
chr3.126586342	0.0	0.0	0.0	0.0	0.0	0.0	97.14	95.35	97.37	0.0	0.0	0.0	2
chr3.114010800	0.0	0.0	2.56	0.0	3.45	0.0	86.67	90.91	86.49	4.35	5.26	0.0	2
chr16.24583448	40.82	51.16	45.24	41.07	44.74	40.0	88.24	93.55	100.0	42.37	32.5	44.23	2
chr3.127697296	0.0	0.0	3.45	0.0	0.0	4.0	100.0	100.0	100.0	3.45	0.0	3.85	2
chr3.126242146	0.0	0.0	0.0	0.0	0.0	0.0	84.38	82.93	74.47	0.0	0.0	0.0	2
chr19.51393780	54.84	44.0	51.61	66.67	55.56	61.76	70.0	81.82	77.78	45.45	60.61	73.91	2
chr11.41047089	77.42	78.95	75.86	75.0	85.71	79.17	95.65	100.0	100.0	88.46	92.31	82.35	2
chr3.127284823	0.0	-1.0	0.0	0.0	0.0	0.0	90.0	100.0	100.0	0.0	0.0	0.0	2
chr7.84901916	66.67	66.67	71.43	80.0	88.24	57.69	94.44	92.31	86.67	76.19	65.38	64.71	2
chr3.102265127	0.0	0.0	0.0	0.0	0.0	0.0	100.0	96.15	93.55	0.0	3.23	0.0	2
chr11.20166376	-1.0	70.0	66.67	76.47	93.33	70.0	91.67	87.5	86.67	75.0	-1.0	-1.0	2
chr1.82298432	31.25	33.33	40.62	27.78	44.12	27.78	62.5	58.97	54.17	29.63	41.94	29.41	2
chr3.122867683	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	100.0	4.35	0.0	0.0	2
chr17.79177628	78.57	71.43	73.33	64.29	76.47	77.27	100.0	100.0	90.91	76.47	88.24	93.75	2
chr3.123081164	-1.0	0.0	6.67	-1.0	0.0	0.0	70.0	64.71	-1.0	0.0	0.0	-1.0	2
chr5.142265181	45.83	34.78	42.86	55.0	58.62	42.86	66.67	71.43	62.5	43.33	50.0	55.0	2
chr3.123783998	73.53	73.68	76.67	95.24	71.88	92.31	95.65	95.83	92.86	100.0	75.86	80.0	2
chr3.127450184	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	80.0	80.0	0.0	0.0	0.0	2
chr9.40880864	39.29	39.13	48.39	52.94	51.61	48.28	69.7	62.07	65.38	65.62	67.74	37.5	2
chr6.5568015	75.0	-1.0	71.43	90.91	66.67	61.54	100.0	94.74	95.24	60.0	-1.0	100.0	2
chr3.123966895	0.0	-1.0	0.0	0.0	0.0	0.0	94.44	81.48	86.67	3.7	0.0	0.0	2
chr14.43821174	57.14	64.0	52.17	85.19	72.41	74.07	88.46	83.33	84.85	77.78	67.74	76.0	2
chr3.130557764	0.0	0.0	0.0	0.0	0.0	0.0	87.5	95.24	85.71	0.0	3.45	0.0	2
chr7.23582687	16.0	11.54	17.5	12.5	14.29	23.33	33.33	36.36	42.5	24.0	29.63	23.81	2
chr6.14569959	75.0	76.47	68.18	83.33	88.0	76.92	100.0	94.74	94.12	76.47	73.33	94.12	2
chr3.116048943	0.0	0.0	-1.0	-1.0	0.0	0.0	91.67	88.46	100.0	0.0	0.0	0.0	2
chr3.122933948	0.0	0.0	0.0	0.0	0.0	0.0	93.1	100.0	95.12	0.0	3.57	0.0	2
chr3.122998746	0.0	11.11	0.0	7.14	0.0	6.67	91.3	100.0	100.0	0.0	0.0	0.0	2
chr3.103564149	0.0	0.0	0.0	0.0	0.0	0.0	90.62	77.78	100.0	0.0	0.0	0.0	2
chr2.145253884	60.0	46.67	60.0	73.33	74.29	81.82	88.89	100.0	95.0	46.43	100.0	42.86	2
chr3.120311514	0.0	-1.0	0.0	0.0	0.0	0.0	95.24	92.0	100.0	0.0	0.0	0.0	2
chr18.82714266	68.18	75.0	70.59	92.31	84.21	88.24	93.75	100.0	90.0	84.0	88.46	85.0	2
chr1.189865467	52.63	61.9	53.85	54.55	80.0	60.0	82.35	91.67	84.21	92.86	96.0	-1.0	2
chr6.26912133	65.0	70.97	72.73	91.67	82.05	60.0	93.75	89.58	100.0	83.87	96.15	69.7	2
chr15.86878344	66.67	72.73	72.73	100.0	76.92	82.35	100.0	100.0	90.91	92.86	-1.0	71.43	2
chr3.116948847	0.0	0.0	0.0	0.0	0.0	0.0	100.0	92.98	93.48	0.0	0.0	0.0	2
chr3.121265709	0.0	0.0	0.0	-1.0	0.0	0.0	91.67	91.67	100.0	0.0	0.0	0.0	2
chr3.116916453	0.0	0.0	-1.0	6.67	4.55	0.0	88.89	100.0	100.0	0.0	0.0	0.0	2
chr17.59177579	66.67	66.67	71.43	86.67	66.67	93.33	100.0	93.33	95.0	-1.0	-1.0	-1.0	2
chr3.128078943	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	97.14	2.86	0.0	0.0	2
chr12.20845347	62.5	57.14	51.43	64.71	73.08	66.67	78.95	78.95	83.87	80.56	78.26	45.45	2
chr3.102026375	0.0	0.0	0.0	0.0	0.0	0.0	100.0	88.89	73.33	0.0	0.0	-1.0	2
chr19.44708320	60.0	65.22	63.64	62.5	70.83	73.91	85.0	91.3	90.91	81.82	77.78	72.22	2
chrX.8351001	72.73	75.0	70.0	92.86	85.71	-1.0	100.0	100.0	91.67	-1.0	-1.0	-1.0	2
chr4.128493120	-1.0	45.45	50.0	-1.0	53.33	-1.0	76.92	85.71	78.57	85.71	-1.0	-1.0	2
chr3.113980193	0.0	0.0	0.0	0.0	0.0	0.0	83.33	88.89	96.43	0.0	0.0	0.0	2
chr3.102286911	0.0	0.0	0.0	0.0	0.0	0.0	97.37	93.94	100.0	0.0	0.0	0.0	2
chr3.109022824	0.0	0.0	0.0	0.0	0.0	0.0	56.25	60.0	55.56	0.0	3.12	0.0	2
chr3.126681681	5.0	0.0	0.0	-1.0	0.0	0.0	93.75	88.89	100.0	0.0	0.0	0.0	2
chr9.61822075	-1.0	70.0	72.73	92.31	-1.0	-1.0	83.33	100.0	88.24	91.67	93.75	-1.0	2
chr3.102267613	-1.0	0.0	0.0	0.0	0.0	0.0	100.0	89.47	100.0	0.0	0.0	0.0	2
chr3.114090735	-1.0	0.0	0.0	-1.0	0.0	-1.0	68.0	62.5	53.85	8.33	0.0	0.0	2
chr3.122669269	0.0	0.0	0.0	0.0	0.0	0.0	83.33	95.24	90.7	0.0	0.0	0.0	2
chr7.115084056	66.67	60.0	64.29	63.64	71.43	43.75	86.67	90.48	100.0	58.33	82.14	68.75	2
chr3.126259164	54.55	56.25	38.71	43.75	51.28	44.83	92.0	96.97	79.41	75.86	83.87	48.15	2
chr2.63148848	70.0	58.82	64.71	88.24	64.71	92.31	92.31	82.61	93.33	83.33	82.61	63.64	2
chr3.123940096	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	97.96	0.0	0.0	0.0	2
chr6.128085989	-1.0	72.73	70.0	-1.0	-1.0	68.75	90.91	100.0	100.0	73.33	100.0	-1.0	2
chr18.69300839	36.84	38.89	50.0	50.0	41.67	61.11	80.0	72.22	73.33	50.0	60.0	45.0	2
chr3.116882409	0.0	-1.0	0.0	0.0	0.0	0.0	92.31	95.0	85.0	0.0	0.0	0.0	2
chr3.122468526	9.68	0.0	11.11	6.9	0.0	0.0	92.0	84.38	87.5	8.0	4.17	0.0	2
chr18.36690537	75.0	70.0	61.54	84.62	94.44	88.24	100.0	92.59	89.47	76.92	100.0	-1.0	2
chr7.65203908	40.74	38.89	51.72	61.9	54.84	47.83	65.22	75.86	65.85	60.0	48.15	50.0	2
chr3.112104640	0.0	0.0	0.0	0.0	0.0	0.0	94.74	71.43	84.62	6.67	0.0	0.0	2
chr6.111290701	70.0	71.43	65.22	92.86	76.67	69.23	87.5	96.15	96.15	80.95	77.27	66.67	2
chr3.126619462	18.18	0.0	0.0	7.14	18.18	-1.0	100.0	93.33	100.0	8.33	5.88	7.14	2
chr17.33070612	60.0	58.82	66.67	76.47	66.67	80.0	76.92	100.0	86.36	94.12	90.0	-1.0	2
chr3.120418524	0.0	0.0	0.0	-1.0	0.0	0.0	-1.0	86.36	86.67	0.0	-1.0	0.0	2
chr6.105391080	87.5	81.48	80.0	62.5	66.67	56.52	77.78	81.25	64.29	77.14	70.97	-1.0	2
chr3.123181668	0.0	-1.0	0.0	0.0	0.0	6.25	95.24	100.0	80.0	0.0	0.0	0.0	2
chr11.43963041	80.0	78.26	73.33	86.67	90.48	86.36	100.0	100.0	100.0	93.75	92.31	86.67	2
chr3.112690690	0.0	0.0	0.0	0.0	0.0	0.0	88.89	88.24	100.0	0.0	0.0	0.0	2
chr3.111558404	0.0	0.0	0.0	0.0	0.0	0.0	76.47	94.44	75.0	0.0	0.0	0.0	2
chr3.122333745	8.0	9.09	3.57	0.0	0.0	0.0	73.68	81.25	70.59	5.56	8.7	4.17	2
chr3.112871014	-1.0	10.0	0.0	-1.0	0.0	-1.0	66.67	92.86	94.12	8.33	-1.0	36.36	2
chr5.138969223	76.47	70.0	70.59	84.62	84.62	80.0	91.67	92.0	93.55	84.0	90.32	80.0	2
chr3.112852621	0.0	0.0	0.0	0.0	0.0	0.0	69.7	92.5	82.93	0.0	0.0	0.0	2
chr3.127939135	0.0	0.0	0.0	0.0	0.0	7.14	87.5	100.0	93.33	0.0	0.0	0.0	2
chr3.103548266	0.0	-1.0	0.0	-1.0	0.0	0.0	83.33	100.0	100.0	0.0	0.0	0.0	2
chr3.130087105	2.44	0.0	0.0	0.0	0.0	0.0	93.55	100.0	100.0	0.0	1.75	0.0	2
chr3.126500157	0.0	-1.0	7.69	0.0	0.0	0.0	91.67	84.21	100.0	16.67	0.0	-1.0	2
chr3.112615454	0.0	0.0	0.0	0.0	0.0	0.0	90.91	90.0	90.91	0.0	0.0	0.0	2
chr3.114106467	0.0	0.0	2.5	0.0	0.0	2.94	83.33	92.68	80.0	3.03	2.7	0.0	2
chr1.56707215	63.16	66.67	71.88	72.41	85.19	84.21	90.91	90.7	93.75	79.31	79.17	90.0	2
chr3.104422902	0.0	-1.0	0.0	0.0	0.0	0.0	91.67	100.0	100.0	0.0	0.0	-1.0	2
chr3.129654021	0.0	0.0	0.0	0.0	0.0	0.0	100.0	97.14	100.0	0.0	0.0	3.33	2
chr14.37077267	71.43	66.67	63.16	75.0	66.67	66.67	90.91	90.91	85.71	57.89	93.75	86.96	2
